day_key,entry_time,side,entry_price,sl,tp,exit_time,exit_price,exit_reason,pnl_usdt,r_multiple,used_fallback,mode
2025-09-02,2025-09-02 23:45:00+00:00,long,111188.0,111139.75,111308.625,2025-09-03 00:00:00+00:00,111308.625,take_profit,-130.56645077720205,2.5,True,aggressive
2025-09-03,2025-09-03 23:45:00+00:00,long,111659.8,111612.92857142858,111776.97857142858,2025-09-04 00:00:00+00:00,111612.92857142858,stop_loss,-278.1757238647029,-1.0,True,aggressive
2025-09-04,2025-09-04 23:45:00+00:00,long,110679.4,110569.51428571428,110954.11428571428,2025-09-05 00:00:00+00:00,110569.51428571428,stop_loss,-140.67228289131413,-1.0,True,aggressive
2025-09-05,2025-09-05 23:45:00+00:00,long,110614.9,110518.62142857142,110855.59642857141,2025-09-06 00:00:00+00:00,110518.62142857142,stop_loss,-154.84046665182927,-1.0,True,aggressive
2025-09-06,2025-09-06 23:45:00+00:00,short,110135.3,110150.88571428572,110096.33571428571,2025-09-07 00:00:00+00:00,110150.88571428572,stop_loss,-746.6926214482692,-1.0,True,aggressive
2025-09-07,2025-09-07 23:45:00+00:00,long,111076.0,111032.29285714286,111185.26785714286,2025-09-08 00:00:00+00:00,111032.29285714286,stop_loss,-294.0869504821436,-1.0,True,aggressive
2025-09-08,2025-09-08 23:45:00+00:00,long,112012.6,111968.78571428572,112122.13571428572,2025-09-09 00:00:00+00:00,111968.78571428572,stop_loss,-295.6031463971575,-1.0,True,aggressive
2025-09-09,2025-09-09 23:45:00+00:00,long,111499.9,111453.59285714285,111615.66785714285,2025-09-10 00:00:00+00:00,111453.59285714285,stop_loss,-280.7333718957316,-1.0,True,aggressive
2025-09-10,2025-09-10 23:45:00+00:00,short,113896.8,113935.12857142858,113800.97857142857,2025-09-11 00:00:00+00:00,113935.12857142858,stop_loss,-337.209001118132,-1.0,True,aggressive
2025-09-11,2025-09-11 23:45:00+00:00,short,115427.0,115515.85714285714,115204.85714285714,2025-09-12 00:00:00+00:00,115515.85714285714,stop_loss,-169.95176848874294,-1.0,True,aggressive
2025-09-12,2025-09-12 23:45:00+00:00,short,115978.4,116021.7,115870.15,2025-09-13 00:00:00+00:00,116021.7,stop_loss,-307.89849884524756,-1.0,True,aggressive
2025-09-13,2025-09-13 23:45:00+00:00,long,115862.7,115849.44285714286,115895.84285714285,2025-09-14 00:00:00+00:00,115895.84285714285,take_profit,-774.0893318967763,2.500000000000549,True,aggressive
2025-09-14,2025-09-14 23:45:00+00:00,long,115210.0,115139.07142857143,115387.32142857143,2025-09-15 00:00:00+00:00,115139.07142857143,stop_loss,-202.38101711985314,-1.0,True,aggressive
2025-09-15,2025-09-15 23:45:00+00:00,long,115300.6,115271.41428571429,115373.5642857143,2025-09-16 00:00:00+00:00,115271.41428571429,stop_loss,-435.00834557017794,-1.0,True,aggressive
2025-09-16,2025-09-16 23:45:00+00:00,long,116747.3,116721.07857142857,116812.85357142857,2025-09-17 00:00:00+00:00,116721.07857142857,stop_loss,-485.1862299100992,-1.0,True,aggressive
2025-09-17,2025-09-17 23:45:00+00:00,short,116402.5,116522.70714285714,116101.98214285714,2025-09-18 00:15:00+00:00,116101.98214285714,take_profit,3.290072196802626,2.5000000000001212,True,aggressive
2025-09-18,2025-09-18 23:45:00+00:00,short,117017.1,117096.82142857143,116817.79642857143,2025-09-19 00:00:00+00:00,117096.82142857143,stop_loss,-186.8324926081885,-1.0,True,aggressive
2025-09-19,2025-09-19 23:45:00+00:00,long,115569.5,115543.12142857142,115635.44642857143,2025-09-20 00:00:00+00:00,115543.12142857142,stop_loss,-478.06887354445394,-1.0,True,aggressive
